loggers.entity.Event{id=25, msg='Some event for user 2', date=Jan 3, 2019 4:31:46 PM}
loggers.entity.Event{id=94, msg='Some event for user 4', date=Jan 3, 2019 4:31:46 PM}
loggers.entity.Event{id=33, msg='Some event for user 5', date=Jan 3, 2019 4:31:46 PM}
loggers.entity.Event{id=84, msg='Some event for user 6', date=Jan 3, 2019 4:31:46 PM}
loggers.entity.Event{id=35, msg='Some event for user 8', date=Jan 3, 2019 4:31:46 PM}
loggers.entity.Event{id=67, msg='Some event for user 2', date=Jan 3, 2019 5:03:19 PM}
loggers.entity.Event{id=95, msg='Some event for user 4', date=Jan 3, 2019 5:03:19 PM}
loggers.entity.Event{id=53, msg='Some event for user 5', date=Jan 3, 2019 5:03:19 PM}
loggers.entity.Event{id=74, msg='Some event for user 6', date=Jan 3, 2019 5:03:19 PM}
loggers.entity.Event{id=22, msg='Some event for user 8', date=Jan 3, 2019 5:03:19 PM}
loggers.entity.Event{id=36, msg='Some event for user 2', date=Jan 3, 2019 5:06:27 PM}
loggers.entity.Event{id=51, msg='Some event for user 4', date=Jan 3, 2019 5:06:27 PM}
loggers.entity.Event{id=93, msg='Some event for user 5', date=Jan 3, 2019 5:06:27 PM}
loggers.entity.Event{id=18, msg='Some event for user 6', date=Jan 3, 2019 5:06:27 PM}
loggers.entity.Event{id=43, msg='Some event for user 8', date=Jan 3, 2019 5:06:27 PM}
loggers.entity.Event{id=19, msg='Some event for user 2', date=Jan 8, 2019 1:27:37 PM}
loggers.entity.Event{id=14, msg='Some event for user 4', date=Jan 8, 2019 1:27:37 PM}
loggers.entity.Event{id=73, msg='Some event for user 5', date=Jan 8, 2019 1:27:37 PM}
loggers.entity.Event{id=94, msg='Some event for user 6', date=Jan 8, 2019 1:27:37 PM}
loggers.entity.Event{id=5, msg='Some event for user 8', date=Jan 8, 2019 1:27:37 PM}
loggers.entity.Event{id=22, msg='Some event for user 2', date=Jan 8, 2019 1:34:23 PM}
loggers.entity.Event{id=82, msg='Some event for user 4', date=Jan 8, 2019 1:34:23 PM}
loggers.entity.Event{id=93, msg='Some event for user 5', date=Jan 8, 2019 1:34:23 PM}
loggers.entity.Event{id=89, msg='Some event for user 6', date=Jan 8, 2019 1:34:23 PM}
loggers.entity.Event{id=0, msg='Some event for user 8', date=Jan 8, 2019 1:34:23 PM}
